Year,Player,Position,Team,Salary,Length of Contract,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_1,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
2012-2013,Quentin Richardson,Forward,Toronto Raptors,"$4,347,184",3,32,1,0,29,1,11,0.091,1,4,0.25,0,7,0,2,2,1,5,5,10,1,0,0,2,1,5,29,0.7,0.21,0.136,0.182,0.364,19.5,20.9,20.2,4.8,0,0,14.4,22.4,67,110,-0.1,0,-0.1,-0.181
2012-2013,D.J. Augustin,Guard,Toronto Raptors,"$1,267,000",1,25,76,5,16.1,1.4,3.9,0.35,0.9,2.5,0.353,0.5,1.4,0.346,1.1,1.3,0.838,0.3,0.9,1.2,2.2,0.4,0,0.9,0.8,4.7,1226,11,0.527,0.464,0.337,0.646,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,109,104,1.4,1.5,2.8,0.112
2012-2013,Austin Daye,Forward,Toronto Raptors,"$947,907",1,24,55,0,12.3,1.6,3.8,0.433,0.7,1.8,0.418,0.9,2,0.445,0.5,0.6,0.765,0.3,1.9,2.2,0.8,0.3,0.4,0.5,1.5,4.5,676,12.9,0.554,0.531,0.163,0.471,2.7,18.8,10.6,10.1,1.1,2.6,11.5,17.1,109,104,0.8,0.9,1.6,0.117
2010-2011,Thaddeus Young,Forward,Philadelphia 76ers,"$7,478,261",5,22,82,1,26,5.6,10.3,0.541,0.1,0.3,0.273,5.5,10.1,0.548,1.5,2.1,0.707,1.9,3.4,5.3,1,1.1,0.3,1.2,2.1,12.7,2135,18.4,0.566,0.544,0.205,0.026,8.3,15.2,11.7,6.7,2.2,0.9,9.7,22.1,110,104,3.2,3,6.2,0.139
2011-2012,Spencer Hawes,Center,Philadelphia 76ers,"$6,500,000",2,23,37,29,24.9,4.2,8.6,0.489,0.1,0.3,0.25,4.1,8.3,0.498,1.1,1.5,0.727,2.1,5.2,7.3,2.6,0.4,1.3,1.5,2.7,9.6,920,18.1,0.517,0.494,0.172,0.038,9.4,23.3,16.3,17.6,0.9,3.9,13.8,20.3,105,97,1.1,1.9,2.9,0.152
2010-2011,Jason Richardson,Guard,Philadelphia 76ers,"$5,395,000",4,30,80,80,33.9,5.9,13.2,0.447,2.4,6,0.395,3.5,7.2,0.49,1.5,2,0.73,0.8,3.3,4.1,1.8,1.2,0.2,1.2,2,15.6,2715,15,0.555,0.536,0.151,0.454,2.9,11.1,7.1,9.2,1.8,0.4,7.8,20.6,110,106,3.6,3.3,6.9,0.123
2011-2012,Lavoy Allen,Forward,Philadelphia 76ers,"$3,000,000",2,22,41,15,15.2,1.9,4.1,0.473,0,0,0,1.9,4.1,0.473,0.3,0.3,0.786,1.1,3,4.2,0.8,0.3,0.4,0.5,1.8,4.1,624,12.7,0.488,0.473,0.084,0,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,104,98,0.4,1.2,1.6,0.124
2012-2013,Kwame Brown,Center,Philadelphia 76ers,"$2,945,901",1,30,22,11,12.2,0.8,1.7,0.459,0,0,0,0.8,1.7,0.459,0.3,0.9,0.368,1,2.3,3.4,0.4,0.3,0.5,0.4,1.7,1.9,269,8.8,0.452,0.459,0.514,0,9.4,22.1,15.5,4.7,1.2,2.9,15,9.1,100,103,0,0.4,0.4,0.071
2012-2013,Darius Morris,Guard,Philadelphia 76ers,"$200,000",1,22,48,17,14.2,1.5,3.9,0.388,0.5,1.4,0.364,1,2.5,0.402,0.5,0.8,0.649,0.5,0.7,1.2,1.6,0.4,0,0.9,1.2,4,683,8.1,0.475,0.452,0.197,0.351,4,5.2,4.6,16.8,1.6,0.2,18.1,16.2,96,110,-0.1,0.3,0.2,0.016
2011-2012,James Anderson,Guard,Philadelphia 76ers,"$532,737",3,22,51,2,11.8,1.3,3.4,0.379,0.4,1.3,0.279,0.9,2.1,0.443,0.8,1,0.75,0.3,1.2,1.5,0.8,0.2,0,0.6,0.7,3.7,603,8.8,0.483,0.434,0.299,0.391,3.1,11.8,7.5,9.6,0.7,0.2,13.2,17.2,97,107,0.1,0.4,0.5,0.04
2009-2010,Joe Johnson,Guard,Brooklyn Nets,"$16,324,500",6,28,76,76,38,8.4,18.2,0.458,1.7,4.6,0.369,6.7,13.6,0.488,2.9,3.5,0.818,1,3.7,4.6,4.9,1.1,0.1,1.9,1.9,21.3,2886,19.3,0.538,0.505,0.194,0.253,3,11.4,7.1,22,1.5,0.1,8.8,26.3,112,109,6,2.4,8.4,0.14
2011-2012,Deron Williams,Guard,Brooklyn Nets,"$17,177,795",5,27,55,55,36.3,7.1,17.5,0.407,2.1,6.2,0.336,5,11.3,0.446,4.7,5.5,0.843,0.4,2.9,3.3,8.7,1.2,0.4,4,2.2,21,1999,20.3,0.527,0.467,0.317,0.356,1.3,9.6,5.3,46.6,1.8,0.8,16.7,30.1,106,111,3.7,0.4,4.1,0.099
