Year,Player,Position,Team,Salary,Length of Contract,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_1,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
2009-2010,Steve Blake,Guard,Los Angeles Lakers,"$4,000,000",4,29,80,38,27,2.7,6.5,0.416,1.5,3.7,0.395,1.3,2.9,0.443,0.5,0.6,0.75,0.3,2.1,2.3,4.8,0.7,0.1,1.6,1.5,7.3,2159,11.6,0.539,0.527,0.092,0.563,1.2,9.4,5.2,26.9,1.4,0.2,19.1,14.5,108,111,1.9,1.4,3.3,0.074
2011-2012,Jordan Hill,Center,Los Angeles Lakers,"$3,500,000",2,24,39,8,14.1,2.1,4.2,0.497,0,0.1,0,2.1,4.2,0.506,0.8,1.2,0.638,1.6,3.2,4.8,0.4,0.4,0.7,0.8,1.8,5,551,15.8,0.522,0.497,0.285,0.018,12.8,26.3,19.5,4.7,1.3,3.6,14.3,17.9,105,101,0.5,0.8,1.4,0.118
2012-2013,Chris Kaman,Center,Los Angeles Lakers,"$3,183,000",1,30,66,52,20.7,4.7,9.3,0.507,0,0,0,4.7,9.3,0.508,1,1.3,0.788,1.5,4.2,5.6,0.8,0.4,0.8,1.6,2.1,10.5,1363,16.3,0.529,0.507,0.138,0.002,8.1,22.1,15.2,6.6,1.1,3,13.6,25.3,98,105,0,1.6,1.6,0.058
2011-2012,Jodie Meeks,Guard,Los Angeles Lakers,"$1,500,000",2,24,66,50,24.9,2.9,7.1,0.409,1.5,4,0.365,1.4,3,0.468,1.2,1.3,0.906,0.3,2.2,2.4,0.8,0.6,0,0.4,1.2,8.4,1644,11.5,0.551,0.513,0.182,0.57,1.1,9.8,5.4,5,1.3,0.1,5.4,15.2,111,103,2.1,2,4.1,0.12
2012-2013,Nick Young,Guard,Los Angeles Lakers,"$1,106,942",2,27,59,17,23.9,3.8,9.2,0.413,1.3,3.6,0.357,2.5,5.6,0.449,1.8,2.2,0.82,0.4,1.8,2.2,1.4,0.6,0.2,0.8,1.4,10.6,1411,13.3,0.525,0.482,0.236,0.387,1.9,8.7,5.2,9.7,1.3,0.8,7.7,21.2,105,109,1.4,1,2.3,0.079
2011-2012,Jordan Farmar,Guard,Los Angeles Lakers,"$1,106,942",1,25,39,5,21.3,3.8,8.1,0.467,1.4,3.2,0.44,2.4,4.9,0.484,1.5,1.6,0.905,0.2,1.4,1.6,3.3,0.6,0.1,1.7,1.3,10.4,831,17.4,0.592,0.554,0.2,0.397,1,7.8,4.3,29,1.5,0.2,16.6,22.6,111,113,1.8,0,1.8,0.104
2012-2013,Wesley Johnson,Forward,Los Angeles Lakers,"$916,099",1,25,50,21,19.1,3.2,7.9,0.407,1,3.1,0.323,2.2,4.8,0.461,0.5,0.7,0.771,0.4,2,2.5,0.7,0.4,0.4,1,1.1,8,953,10.3,0.485,0.47,0.088,0.391,2.5,12.4,7.3,5.9,1.2,1.4,10.4,21.4,93,110,-0.5,0.5,0,0
2011-2012,Shawne Williams,Forward,Los Angeles Lakers,"$1,106,942",1,25,25,6,20.6,1.7,5.9,0.286,0.8,3.5,0.241,0.8,2.4,0.35,0.3,0.4,0.727,0.8,1.9,2.7,0.6,0.4,0.4,0.5,1.8,4.5,514,4.9,0.372,0.357,0.075,0.592,4.4,11.2,7.7,4.9,1,1.6,7.9,14.7,84,112,-0.5,0.1,-0.4,-0.041
2012-2013,Robert Sacre,Center,Los Angeles Lakers,"$788,872",3,23,32,3,6.3,0.6,1.5,0.375,0,0,0,0.6,1.5,0.375,0.2,0.3,0.636,0.3,0.8,1.1,0.2,0,0.3,0.3,1.2,1.3,203,3.4,0.407,0.375,0.229,0,5,13.2,9.2,4.3,0,3.6,15.9,13.8,83,108,-0.2,0.1,-0.1,-0.024
2010-2011,Marcus Thornton,Guard,Sacramento Kings,"$7,000,000",4,23,73,23,24.3,4.8,11.1,0.434,1.2,3.3,0.367,3.6,7.8,0.462,2,2.5,0.788,0.8,2.7,3.5,1.8,0.9,0.1,1.3,1.5,12.8,1780,17.4,0.544,0.505,0.203,0.386,4.9,6.7,5.8,9.4,2,0.5,8.8,23.4,111,112,3.7,0.1,3.8,0.103
